Advocate Hospital: DECO-Phoebe Sumter, SmartScreen Hospital: DECO-Phoebe Sumter
Advocate Hospital: ELEVATE-U of kansas Health Systems - Great Bend Campus, SmartScreen Hospital: ELEVATE-OakBend Medical Williams Way Campus
Advocate Hospital: ELEVATE-Kaweah Delta, SmartScreen Hospital: ELEVATE-Novant Health Prince William Medical Center
Advocate Hospital: ELEVATE-Houston Methodist Clear Lake Hospital, SmartScreen Hospital: ELEVATE-Houston Methodist Baytown Hospital
Advocate Hospital: DECO-MedStar Harbor Hospital, SmartScreen Hospital: DECO-MedStar Harbor Hospital
Advocate Hospital: ELEVATE-OSF Holy Family Medical Center, SmartScreen Hospital: ELEVATE-OSF Saint Francis Medical Center
Advocate Hospital: ELEVATE-Southwest General Hospital, SmartScreen Hospital: ELEVATE-Southwest General Hospital
Advocate Hospital: ELEVATE-Test Facility, SmartScreen Hospital: ELEVATE-INTEGRIS Mental Health Spencer
Advocate Hospital: ELEVATE-Houston Methodist Sugar Land Hospital, SmartScreen Hospital: ELEVATE-Houston Methodist Willowbrook Hospital
Advocate Hospital: DECO-Baltimore Washington Medical Center, SmartScreen Hospital: DECO-Baltimore Washington Medical Center
Advocate Hospital: ELEVATE-St Patricks Home, SmartScreen Hospital: ELEVATE-Malta Med Emergent Care
Advocate Hospital: DECO-Shady Grove Adventist Hospital, SmartScreen Hospital: DECO-Adventist HealthCare Shady Grove Medical Center
Advocate Hospital: ELEVATE-University of Wisconsin Hospital - PB Accounts, SmartScreen Hospital: ELEVATE-The American Center
Advocate Hospital: DECO-Broward Health Coral Springs, SmartScreen Hospital: DECO-Broward Health Coral Springs
Advocate Hospital: ELEVATE-INTEGRIS Deaconess, SmartScreen Hospital: ELEVATE-INTEGRIS Cancer Institute of Oklahoma
Advocate Hospital: ELEVATE-North Kansas City Hospital, SmartScreen Hospital: ELEVATE-North Kansas City Hospital
Advocate Hospital: ELEVATE-OSF Home Health, SmartScreen Hospital: ELEVATE-OSF Saint Elizabeth Medical Center
Advocate Hospital: DECO-Inova Fair Oaks Hospital, SmartScreen Hospital: DECO-Inova Fair Oaks
Advocate Hospital: DECO-Touro Infirmary, SmartScreen Hospital: DECO-Touro Infirmary
Advocate Hospital: ELEVATE-The American Center - PB Accounts, SmartScreen Hospital: ELEVATE-North Hawaii Community Hospital
Advocate Hospital: ELEVATE-INTEGRIS Health Edmond, SmartScreen Hospital: ELEVATE-INTEGRIS Canadian Valley Hospital
Advocate Hospital: ELEVATE-Houston Methodist The Woodlands Hospital, SmartScreen Hospital: ELEVATE-Houston Methodist Hospital
Advocate Hospital: ELEVATE-Doctors Hospital Emergency Room Saunders DHSAU, SmartScreen Hospital: ELEVATE-Doctors Hospital Emergency Room Saunders DHSAU
Advocate Hospital: ELEVATE-INTEGRIS Canadian Valley Hospital, SmartScreen Hospital: ELEVATE-INTEGRIS Miami Hospital
Advocate Hospital: ELEVATE-Barnes Jewish Hospital, SmartScreen Hospital: ELEVATE-Barnes Jewish West County Hospital
Advocate Hospital: ELEVATE-Novant Health Kernersville Medical Center, SmartScreen Hospital: ELEVATE-Novant Health Haymarket Medical Center
Advocate Hospital: DECO-Viera Hospital, SmartScreen Hospital: DECO-Viera Hospital
Advocate Hospital: DECO-Greer Carolina Cardiology Hospital, SmartScreen Hospital: DECO-Greer Carolina Cardiology Hospital
Advocate Hospital: ELEVATE-Hospital Sisters St Elizabeths Hospital, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Johns Hospital
Advocate Hospital: ELEVATE-El Camino, SmartScreen Hospital: ELEVATE-Gundersen Boscobel Area Hospital
Advocate Hospital: DECO-Hillcrest Memorial Hospital, SmartScreen Hospital: DECO-Hillcrest Memorial Hospital
Advocate Hospital: DECO-Florida Hospital Orlando, SmartScreen Hospital: DECO-Florida Hospital Orlando
Advocate Hospital: DECO-Bon Secours Health System, SmartScreen Hospital: DECO-Bon Secours Baltimore
Advocate Hospital: DECO-West Jefferson Data Mining, SmartScreen Hospital: DECO-West Jefferson Data Mining
Advocate Hospital: ELEVATE-OSF Saint Luke Medical Center, SmartScreen Hospital: ELEVATE-OSF Sacred Heart Medical Center
Advocate Hospital: ELEVATE-Campbell County Memorial Hospital, SmartScreen Hospital: ELEVATE-University of Wisconsin Hospital
Advocate Hospital: ELEVATE-Tower Health Reading Hospital, SmartScreen Hospital: ELEVATE-Tower Health Reading Hospital
Advocate Hospital: DECO-Washington Hospital Center, SmartScreen Hospital: DECO-MedStar Washington Hospital Center
Advocate Hospital: ELEVATE-Alton Memorial Hospital, SmartScreen Hospital: ELEVATE-Trinity Medical Center East
Advocate Hospital: ELEVATE-Aspirus Grand View Hospital, SmartScreen Hospital: ELEVATE-Aspirus Grand View Hospital
Advocate Hospital: DECO-Bleckley Memorial Hospital, SmartScreen Hospital: DECO-Bleckley Memorial Hospital
Advocate Hospital: DECO-AmeriHealth Caritas of DC, SmartScreen Hospital: ELEVATE-AmeriHealth Caritas of DC
Advocate Hospital: ELEVATE-Kings Daughters Medical Specialties, SmartScreen Hospital: ELEVATE-Kings Daughters Kentucky Clinics
Advocate Hospital: DECO-St. Francis Cancer Center, SmartScreen Hospital: DECO-BSHSI - St. Francis Cancer Center
Advocate Hospital: DECO-Childrens National Medical Center, SmartScreen Hospital: DECO-Childrens National Medical Center 
Advocate Hospital: DECO-Stephens County Hospital - Backlog, SmartScreen Hospital: DECO-Stephens County Hospital Backlog
Advocate Hospital: ELEVATE-Bay Area Hospital, SmartScreen Hospital: ELEVATE-OSF St. Mary Medical Center
Advocate Hospital: ELEVATE-Hospital Sisters Good Shepherd Hospital, SmartScreen Hospital: ELEVATE-University of Wisconsin Hospital - PB Accounts
Advocate Hospital: ELEVATE-Christian Hospital, SmartScreen Hospital: DECO-Christian Hospital
Advocate Hospital: ELEVATE-Novant Health Clemmons Medical Center, SmartScreen Hospital: ELEVATE-Novant Health Matthews Medical Center
Advocate Hospital: DECO-Atrium Health Navicent Baldwin, SmartScreen Hospital: DECO-Atrium Health Navicent Baldwin
Advocate Hospital: DECO-Broward Health Imperial Point, SmartScreen Hospital: DECO-Broward Health Imperial Point
Advocate Hospital: ELEVATE-Queens Medical Center, SmartScreen Hospital: ELEVATE-Kings Daughters Ohio Clinics
Advocate Hospital: DECO-Florida Hospital-Winter Park Memorial Hospital, SmartScreen Hospital: DECO-Winter Park Memorial Hospital
Advocate Hospital: ELEVATE-Essentia Health Virginia, SmartScreen Hospital: ELEVATE-St Anthony Community Hospital
Advocate Hospital: DECO-Medical Center Navicent Health, SmartScreen Hospital: DECO-Medical Center Navicent Health
Advocate Hospital: ELEVATE-Hospital Sisters St Mary Hospital, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Josephs Hospital-Wisconsin
Advocate Hospital: ELEVATE-STHS ER at Weslaco STHSW, SmartScreen Hospital: ELEVATE-STHS ER at Weslaco STHSW
Advocate Hospital: DECO-MedStar St. Marys Hospital, SmartScreen Hospital: DECO-MedStar St. Mary's Hospital
Advocate Hospital: DECO-Inova Physical Therapy, SmartScreen Hospital: DECO-Inova Physical Therapy Center
Advocate Hospital: DECO-Sinai Hospital, SmartScreen Hospital: DECO-Sinai Hospital
Advocate Hospital: ELEVATE-Aspirus Ontonagon Hospital, SmartScreen Hospital: ELEVATE-Aspirus Ontonagon Hospital
Advocate Hospital: ELEVATE-PIH Health - Downey, SmartScreen Hospital: ELEVATE-U of K Health System - St Rose Medical Pavillion
Advocate Hospital: ELEVATE-Essentia Health Clinics West, SmartScreen Hospital: ELEVATE-St. Patricks Home
Advocate Hospital: ELEVATE-Community Hospital of the Monterey Peninsula, SmartScreen Hospital: ELEVATE-UCSF Benioff Children''''s Hospital - Oakland
Advocate Hospital: DECO-MedStar-Montgomery General Hospital, SmartScreen Hospital: DECO-MedStar Montgomery Medical Center
Advocate Hospital: ELEVATE-Aspirus Divine Savior Healthcare, SmartScreen Hospital: ELEVATE-Aspirus Divine Savior Healthcare
Advocate Hospital: ELEVATE-INTEGRIS Cancer Institute of Oklahoma, SmartScreen Hospital: ELEVATE-INTEGRIS Baptist Medical Center
Advocate Hospital: DECO-St. Francis Hospital - Eastside, SmartScreen Hospital: DECO-BSHSI - St. Francis Hospital - Eastside
Advocate Hospital: ELEVATE-Queens Medical Center West Oahu, SmartScreen Hospital: ELEVATE-Kings Daughters Medical Center Ohio
Advocate Hospital: DECO-Phoebe North Campus, SmartScreen Hospital: DECO-Phoebe North Campus
Advocate Hospital: DECO-George Washington University Hospital, SmartScreen Hospital: DECO-George Washington University Hospital
Advocate Hospital: DECO-Ochsner River Parishes Hospital, SmartScreen Hospital: DECO-Ochsner River Parishes Hospital
Advocate Hospital: ELEVATE-Houston Methodist St Catherine Hospital, SmartScreen Hospital: ELEVATE-OSF Saint Paul Medical Center
Advocate Hospital: ELEVATE-Hospital Sisters St Francis Hospital, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Vincent Hospital
Advocate Hospital: DECO-BridgePoint Hospital National Harbor, SmartScreen Hospital: DECO-BridgePoint Hospital National Harbor
Advocate Hospital: ELEVATE-INTEGRIS Miami Hospital, SmartScreen Hospital: ELEVATE-Bass Baptist Health Center
Advocate Hospital: ELEVATE-Elliot Hospital System Professional Network, SmartScreen Hospital: ELEVATE-Elliot Hospital System Professional Network
Advocate Hospital: ELEVATE-OSF Saint Anthony Medical Center, SmartScreen Hospital: ELEVATE-OSF Little Company of Mary Medical Center
Advocate Hospital: ELEVATE-Bon Secours Good Samaritan Hospital GSH, SmartScreen Hospital: ELEVATE-Burdett Care Center
Advocate Hospital: ELEVATE-Northern Hospital of Surry County, SmartScreen Hospital: ELEVATE-Northern Hospital of Surry County
Advocate Hospital: ELEVATE-Aspirus Howard Young Medical Center and Clinics, SmartScreen Hospital: ELEVATE-Aspirus Howard Young Medical Center and Clinics
Advocate Hospital: DECO-St. Francis Hospital - Downtown, SmartScreen Hospital: DECO-BSHSI - St. Francis Hospital - Downtown
Advocate Hospital: DECO-Inova Mt. Vernon Hospital, SmartScreen Hospital: DECO-Inova Mount Vernon Hospital
Advocate Hospital: ELEVATE-Boone Hospital Center, SmartScreen Hospital: ELEVATE-Alton Memorial Hospital
Advocate Hospital: DECO-Phoebe Worth, SmartScreen Hospital: DECO-Phoebe Worth
Advocate Hospital: ELEVATE-AutoOP InPatient test, SmartScreen Hospital: ELEVATE-Bass Baptist Meadowlake
Advocate Hospital: ELEVATE-St Anthony Community Hospital SACH, SmartScreen Hospital: ELEVATE-Sunnyview Rehabilitation Hospital
Advocate Hospital: ELEVATE-Mt Alverno Center, SmartScreen Hospital: ELEVATE-St. Peters Hospital
Advocate Hospital: DECO-North Greenville Memorial Hospital, SmartScreen Hospital: DECO-North Greenville Hospital
Advocate Hospital: DECO-MedStar Good Samaritan Hospital, SmartScreen Hospital: DECO-MedStar Good Samaritan Hospital
Advocate Hospital: ELEVATE-U of Kansas Healty System - Great Bend Campus, SmartScreen Hospital: ELEVATE-Decatur Memorial Hospital
Advocate Hospital: ELEVATE-University of Wisconsin Hospital, SmartScreen Hospital: ELEVATE-University of Wisconsin Clinics - PB Accounts
Advocate Hospital: ELEVATE-Hospital Sisters Sacred Heart Hospital, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Clare Memorial Hospital
Advocate Hospital: DECO-Baptist Easley Hospital, SmartScreen Hospital: DECO-Baptist Easley Hospital
Advocate Hospital: ELEVATE-Barnes-Jewish West County Hospital, SmartScreen Hospital: ELEVATE-Missouri Baptist Medical Center
Advocate Hospital: ELEVATE-Kings Daughters Medical Center Ohio, SmartScreen Hospital: ELEVATE-Boulder Community Hospital
Advocate Hospital: DECO-Ochsner New Orleans, SmartScreen Hospital: DECO-Ochsner New Orleans
Advocate Hospital: ELEVATE-Test, SmartScreen Hospital: ELEVATE-Seattle Childrens Hospital
Advocate Hospital: DECO-United Medical Center, SmartScreen Hospital: DECO-United Medical Center
Advocate Hospital: ELEVATE-Tower Health Pottstown Hospital, SmartScreen Hospital: ELEVATE-Tower Health Pottstown Hospital
Advocate Hospital: DECO-Ochsner North Shore, SmartScreen Hospital: DECO-Ochsner North Shore
Advocate Hospital: ELEVATE-Bass Baptist Health Center, SmartScreen Hospital: ELEVATE-Great Plains Health Hospital Campus
Advocate Hospital: ELEVATE-Kings Daughters Kentucky Clinics, SmartScreen Hospital: ELEVATE-Nathan Littauer Hospital
Advocate Hospital: ELEVATE-Novant Health Haymarket Medical Center, SmartScreen Hospital: ELEVATE-Novant Health Forsyth Medical Center
Advocate Hospital: DECO-Doctors Community Hospital, SmartScreen Hospital: DECO-Doctors Community Hospital
Advocate Hospital: ELEVATE-OSF Saint Clare Medical Center, SmartScreen Hospital: ELEVATE-OSF Home Health
Advocate Hospital: DECO-Holy Cross Germantown Hospital, SmartScreen Hospital: DECO-Holy Cross Germantown Hospital
Advocate Hospital: DECO-Northwest Hospital, SmartScreen Hospital: DECO-Northwest Hospital
Advocate Hospital: ELEVATE-Aspirus Plover Hospital and Clinics, SmartScreen Hospital: ELEVATE-Aspirus Plover Hospital and Clinics
Advocate Hospital: ELEVATE-Kadlec Regional Medical Center, SmartScreen Hospital: ELEVATE-Hunt Regional Medical Center Greenville
Advocate Hospital: DECO-New Orleans East Hospital, SmartScreen Hospital: DECO-New Orleans East Hospital
Advocate Hospital: ELEVATE-Waterbury Hospital, SmartScreen Hospital: ELEVATE-Saratoga Hospital
Advocate Hospital: DECO-Dodge County Hospital, SmartScreen Hospital: DECO-Dodge County Hospital
Advocate Hospital: ELEVATE-Trinity Medical Center East, SmartScreen Hospital: ELEVATE-Trinity Health Systems Ohio
Advocate Hospital: ELEVATE-Elliot Hospital, SmartScreen Hospital: ELEVATE-Elliot Hospital 
Advocate Hospital: ELEVATE-The American Center, SmartScreen Hospital: ELEVATE-University of Wisconsin Clinics
Advocate Hospital: DECO-Greenville Memorial Hospital, SmartScreen Hospital: DECO-Greenville Memorial Hospital
Advocate Hospital: DECO-Marshall I. Pickens Hospital, SmartScreen Hospital: DECO-Marshall I. Pickens Hospital
Advocate Hospital: ELEVATE-Essentia Health Fosston Clinic, SmartScreen Hospital: ELEVATE-Sonoma Valley Hospital
Advocate Hospital: ELEVATE-Adventist Health Bakersfield AHBF, SmartScreen Hospital: ELEVATE-El Camino Hospital
Advocate Hospital: ELEVATE-Hospital Sisters St Vincent Hospital, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Nicholas Hospital
Advocate Hospital: ELEVATE-Novant Health Mint Hill Medical Center, SmartScreen Hospital: ELEVATE-Novant Health Huntersville Medical Center
Advocate Hospital: ELEVATE-Hunt Regional Medical Center Greenville, SmartScreen Hospital: ELEVATE-Houston Methodist St Catherine Hospital
Advocate Hospital: DECO-Hillcrest Carolina Cardiology Hospital, SmartScreen Hospital: DECO-Hillcrest Carolina Cardiology Hospital
Advocate Hospital: ELEVATE-STHS ER at Ware Road STHSR, SmartScreen Hospital: ELEVATE-STHS ER at Ware Road STHSR
Advocate Hospital: DECO-Catawba Valley Medical Center, SmartScreen Hospital: DECO-Catawba Valley Medical Center
Advocate Hospital: ELEVATE-Fairbanks Memorial Hospital, SmartScreen Hospital: ELEVATE-Providence Holy Family Hospital
Advocate Hospital: DECO-BridgePoint Hospital Capitol Hill, SmartScreen Hospital: DECO-BridgePoint Hospital Capitol Hill
Advocate Hospital: DECO-Florida Hospital Kissimmee, SmartScreen Hospital: DECO-Florida Hospital Kissimmee
Advocate Hospital: DECO-Ochsner St Charles Parish Hospital, SmartScreen Hospital: DECO-Ochsner St Charles Parish Hospital
Advocate Hospital: ELEVATE-UC Irvine Medical Center, SmartScreen Hospital: ELEVATE-Essentia Health Fosston Clinic
Advocate Hospital: ELEVATE-St Lukes Hospital Duluth, SmartScreen Hospital: ELEVATE-Rockville General Hospital
Advocate Hospital: DECO-Florida Hospital Winter Garden, SmartScreen Hospital: ELEVATE-Florida Hospital Winter Garden
Advocate Hospital: DECO-Suburban Hospital, SmartScreen Hospital: DECO-Suburban Hospital
Advocate Hospital: ELEVATE-OSF Little Company of Mary Medical Center, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Josephs Hospital-Breese
Advocate Hospital: ELEVATE-Sutter CPMC Davies Campus, SmartScreen Hospital: ELEVATE-Gundersen St. Joseph's Hospital
Advocate Hospital: ELEVATE-Houston Methodist Baytown Hospital, SmartScreen Hospital: ELEVATE-Bay Area Hospital
Advocate Hospital: DECO-Ochsner West Bank, SmartScreen Hospital: DECO-Ochsner St. Anne
Advocate Hospital: ELEVATE-El Camino Hospital, SmartScreen Hospital: ELEVATE-Lawrence Memorial Hospital - PB
Advocate Hospital: DECO-Adventist Behavioral Health, SmartScreen Hospital: ELEVATE-Adventist HealthCare Behavioral Health &amp; Wellness Services
Advocate Hospital: DECO-Ochsner Baptist, SmartScreen Hospital: DECO-Ochsner Baptist
Advocate Hospital: DECO-Cape Canaveral Hospital, SmartScreen Hospital: DECO-Cape Canaveral Hospital
Advocate Hospital: DECO-Cross Creek Surgery Center, SmartScreen Hospital: DECO-Cross Creek Surgery Center
Advocate Hospital: DECO-University Medical Center New Orleans, SmartScreen Hospital: DECO-University Medical Center New Orleans
Advocate Hospital: ELEVATE-Prosser Memorial Health, SmartScreen Hospital: ELEVATE-Prosser Memorial Health
Advocate Hospital: ELEVATE-Palomar Medical Center - West, SmartScreen Hospital: ELEVATE-Gundersen Saint Elizabeth Hospital and Clinic
Advocate Hospital: ELEVATE-Memorial Hospital East, SmartScreen Hospital: ELEVATE-Memorial Hospital East
Advocate Hospital: DECO-Regional Medical Center, SmartScreen Hospital: DECO-Regional Medical Center
Advocate Hospital: ELEVATE-Sonoma Valley Hospital, SmartScreen Hospital: ELEVATE-Fairbanks Memorial Hospital
Advocate Hospital: ELEVATE-Hospital Sisters St Anthonys Memorial Hospital, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Elizabeths Hospital
Advocate Hospital: DECO-Laurens County Memorial Hospital, SmartScreen Hospital: DECO-Laurens County Memorial Hospital
Advocate Hospital: ELEVATE-Tower Health Chestnut Hill Hospital, SmartScreen Hospital: ELEVATE-Tower Health Chestnut Hill Hospital
Advocate Hospital: DECO-MedStar Union Memorial Hospital, SmartScreen Hospital: DECO-MedStar Union Memorial Hospital
Advocate Hospital: DECO-Southwest Georgia Regional Medical Center, SmartScreen Hospital: DECO-Southwest Georgia Regional Medical Center
Advocate Hospital: DECO-Inova Alexandria Hospital, SmartScreen Hospital: DECO-Inova Alexandria Hospital
Advocate Hospital: ELEVATE-Novant Health Thomasville Medical Center, SmartScreen Hospital: ELEVATE-Novant Health Rowan Medical Center
Advocate Hospital: ELEVATE-Glens Falls Hospital, SmartScreen Hospital: ELEVATE-Providence Sacred Heart Medical Center
Advocate Hospital: ELEVATE-Manchester Memorial Hospital, SmartScreen Hospital: ELEVATE-Eddy Senior Care Rotterdamn
Advocate Hospital: ELEVATE-Boone Hospital Center, SmartScreen Hospital: DECO-Boone Hospital Center
Advocate Hospital: ELEVATE-North Hawaii Community Hospital, SmartScreen Hospital: ELEVATE-Queens Medical Center West Oahu
Advocate Hospital: ELEVATE-Essentia Health Northern Pines, SmartScreen Hospital: ELEVATE-Bon Secours Community Hospital
Advocate Hospital: ELEVATE-Aspirus Langlade Hospital, SmartScreen Hospital: ELEVATE-Aspirus Langlade Hospital
Advocate Hospital: ELEVATE-Progress West Hospital, SmartScreen Hospital: ELEVATE-Progress West Hospital
Advocate Hospital: ELEVATE-Novant Health Prince William Medical Center, SmartScreen Hospital: ELEVATE-Novant Health Mint Hill Medical Center
Advocate Hospital: ELEVATE-Aspirus Eagle River Hospital and Clinics, SmartScreen Hospital: ELEVATE-Aspirus Eagle River Hospital and Clinics
Advocate Hospital: ELEVATE-Parkland Health Center, SmartScreen Hospital: ELEVATE-Missouri Baptist Sullivan Hospital
Advocate Hospital: DECO-Ochsner Baton Rouge, SmartScreen Hospital: DECO-Ochsner Baton Rouge
Advocate Hospital: ELEVATE-Houston Methodist Hospital, SmartScreen Hospital: ELEVATE-Providence Regional Medical Center Everett
Advocate Hospital: ELEVATE-Hospital Sisters St Clare Memorial Hospital, SmartScreen Hospital: ELEVATE-Campbell County Memorial Hospital
Advocate Hospital: DECO-Florida Hospital Altamonte, SmartScreen Hospital: DECO-Florida Hospital Altamonte
Advocate Hospital: ELEVATE-Providence Sacred Heart Medical Center, SmartScreen Hospital: ELEVATE-Community Hospital of the Monterey Peninsula
Advocate Hospital: DECO-Broward Health Medical Center, SmartScreen Hospital: DECO-Broward Health Medical Center
Advocate Hospital: ELEVATE-Novant Health Brunswick Medical Center, SmartScreen Hospital: ELEVATE-Barnes-Jewish St. Peters Hospital
Advocate Hospital: ELEVATE-Hospital Sisters Holy Family Hospital, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Josephs Hospital-Highland
Advocate Hospital: ELEVATE-STHS ER at Mission STHSM, SmartScreen Hospital: ELEVATE-STHS ER at Mission STHSM
Advocate Hospital: ELEVATE-Aspirus Wausau Hospital, SmartScreen Hospital: ELEVATE-Aspirus Wausau Hospital
Advocate Hospital: ELEVATE-Hospital Sisters St Josephs Hospital-Breese, SmartScreen Hospital: ELEVATE-Hospital Sisters St. Marys Hospital-Decatur
Advocate Hospital: ELEVATE-Memorial Hospital Belleville, SmartScreen Hospital: DECO-Memorial Hospital Belleville
